Gene name	GO domain	GO term name	GO term accession
LIF	molecular_function	cytokine activity	GO:0005125
LIF	biological_process	immune response	GO:0006955
LIF	molecular_function	cytokine activity	GO:0005125
LIF	molecular_function	cytokine activity	GO:0005125
LIF	molecular_function	cytokine activity	GO:0005125
LIF	biological_process	immune response	GO:0006955
LIF	molecular_function	cytokine activity	GO:0005125
LIF	molecular_function	cytokine activity	GO:0005125
GPR183	biological_process	adaptive immune response	GO:0002250
GPR183	biological_process	adaptive immune response	GO:0002250
GPR183	biological_process	immune response	GO:0006955
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
BMP4	molecular_function	cytokine activity	GO:0005125
CLEC4E	biological_process	innate immune response	GO:0045087
CLEC4E	biological_process	innate immune response	GO:0045087
CLEC4E	biological_process	immune response	GO:0006955
CLEC4D	biological_process	innate immune response	GO:0045087
CLEC4D	biological_process	adaptive immune response	GO:0002250
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	innate immune response	GO:0045087
CLEC7A	biological_process	cell activation	GO:0001775
