L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
ANPEP-SELE,0.0,0.5251774443391195,0.0,0.08956544340367681,0.0,0.3718587928745011,0.0,0.49956199824799136,0.25580217464116706,0.0,0.0,0.0,0.0,0.0,0.20441631471830368,0.5617218129836751,0.07041138141350661,0.17472360065762627,0.3308260728951256,0.7011506609760721,0.34541984732824343,0.26516342848947017,1.0,0.7155486665791477,0.0,0.0,0.47227066778989407,0.6432008188096613,0.15855189184948845,0.5189824113528414,0.5556009193733755,0.0,0.9319679225619532
ANXA1-EGFR,0.41514959015342195,0.4907375673568039,0.811635078534705,0.5986131584126072,0.7823425513779785,0.30593414299996957,1.0,0.4619021922363245,0.7191222683035412,0.6597584974350039,0.934909981493009,0.5087731370793095,0.5182788046811363,0.15911478607534332,0.07384932319661082,0.19010991355790316,0.46641484450117254,0.19070989035040467,0.545108547349999,0.0,0.0795498352678902,0.4874872723687255,0.15663954329837326,0.04329642524855678,0.593662575674805,0.35902891331904213,0.1057408057822153,0.22224639438450555,0.6276682953432636,0.33601727615107635,0.08197395510567561,0.4047820903512787,0.13377794392951842
ANXA1-FPR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15607721713045994,0.0,0.2970936920284313,0.0875679443360861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C3-CD19,0.0,0.0,0.0032743979027841314,0.12439000414061363,0.0,0.2484589922496233,0.0,0.011978732613653174,0.0,0.0,0.0,0.089914606586506,0.0,0.0768954243659352,0.10519723218344294,0.15136658714082166,0.16987102957017386,0.2092159100447732,0.5009785059194284,0.47814933881284427,0.375337315745478,0.15932081855426763,0.1475230401748434,0.11500823984792123,0.0,0.000622632317027714,0.5362699880464692,0.4155163456980741,0.05585930746409014,0.2110020931449493,0.49337853794905684,1.0,0.3668633557777748
C3-ITGB2,0.1577336549236844,0.0,0.21126747820430336,0.39625500568711275,0.06569279191192312,0.2984486771142362,0.0671721581665158,0.21737573373886324,0.2343814407926121,0.11089687421288688,0.09458469401518066,0.6355349018723802,0.1862909370539426,0.14083291744984955,0.12925365281178447,0.20701118936633095,0.2135155467132352,0.17540146580951751,0.5922675527688256,0.3165251210812555,1.0,0.14581145058543216,0.21269920348388863,0.3271935333046929,0.007702653416999466,0.12078498064575935,0.8629843534523154,0.558234885829438,0.25800636186450465,0.13459563575622152,0.44107247026878177,0.744225681846538,0.496636523458033
C3-VSIG4,0.0,0.0,0.2547775976949404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4503150183150201,0.32797854785478636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09940086580086582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753010279001477,0.0,0.03362456976436338,1.0,0.0
CCL19-CCR7,0.04881465722309745,0.0,0.10623896713912538,0.3085579339116279,0.0,0.16737844143044814,0.017786972708013424,0.20045253941883356,0.31608952273676433,0.0,0.0,0.13907474333717532,0.0,0.05272098091406564,0.048354498650621004,0.15688384176945713,0.017927232130652514,0.04261600480672277,0.4828468577926512,0.13812485447014713,1.0,0.018285065693749172,0.004915079320802972,0.1553620918154141,0.0,0.02910393409348697,0.9061350483982229,0.46203477729421855,0.0,0.0,0.2573338168128529,0.0,0.4089273437695586
CCL5-ACKR1,0.06987649404794259,0.0,0.9504615395268958,0.7599194686784078,0.0,0.049587256078409366,0.0,0.06229544175708226,0.024213904226092146,0.14506560912663194,0.0,0.46380154377412275,0.8509779332228565,0.10159754334396806,0.2079328860481189,0.41466874502093054,0.09800267401566246,0.5922845588293497,0.23374003775794372,0.0558093030844339,0.5686166971358938,0.22447243272764977,0.3837934783907482,0.49369768113153173,0.0,0.02084501320333114,1.0,0.9964227762830454,0.7215581493460828,0.7346773884251018,0.049134673979281306,0.5703745371021435,0.3176501415352523
CCL5-SDC1,0.2582029336552672,0.0,0.22795722367815363,0.2340144876795547,0.14611284248798856,0.197161018621644,0.37749553788532636,0.2371478849589622,0.20876076699995716,0.28482194430638247,0.2188043221129907,0.23116316062849046,0.1697096868511855,0.2678109030912718,0.3046671777020991,0.33494390633294635,0.22093854839553653,0.27751582270475855,0.4363470748642266,0.4417350699201892,0.13639522196670828,0.33451284214863414,0.352483634669294,0.3157077671124011,0.2717828853395658,0.20047874848789343,0.5140276071940484,0.40597182281140853,0.2912933385274634,0.4497762982375376,0.5161005064277375,1.0,0.3691010125145706
CCN1-TLR2,0.05488775423520428,0.0891562625855816,0.22839026214125344,0.20034597838400517,0.0,0.15534269395525904,0.07950133257572656,0.13242528961470706,0.11142619598678703,0.074136870935887,0.02786370536724147,0.5955704206209448,0.002911681993688299,0.048218564202679864,0.003186888231277084,0.06200727935967674,0.026623214730918426,0.0,0.33841947763878305,0.0,0.5785902366410393,0.09903298715417813,0.27458914141077423,0.3515409328890998,0.0,0.08753798247712184,0.45320197044334826,0.5235846810356892,0.021475972921599387,0.0,0.35227006329608446,1.0,0.16904953685058366
CCN1-ITGB5,0.728513543475745,1.0,0.6383633104818598,0.9207981800986571,0.11880802287257825,0.646674703549512,0.6361944824940752,0.5462187877586288,0.21900266575671715,0.36032574241353943,0.3132306738972342,0.7668174745397711,0.0,0.33249100478991195,0.1419984114083404,0.11121421127495744,0.16150229875339503,0.406362575075595,0.7339514760218582,0.15933574336911863,0.5121877924281546,0.5552254996315975,0.41522156469848864,0.19853473551257808,0.36420675079635717,0.17945735302294197,0.3265181837133336,0.24024275913248166,0.7362724580590143,0.536715237999699,0.05774784197939984,0.7852782632435337,0.15651591845226764
CCN1-TLR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573175319789326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3133756235090009,0.0,0.10932460288589853,0.005880681818181993,0.0,0.0,0.20645867542419355,0.22931720565942434,0.0,0.1254600420609885,0.13666977611940334,1.0,0.0
CCN1-ITGB2,0.20901156543678173,0.0,0.20966464100466703,0.21742248244689535,0.035367449149640365,0.37858209550049027,0.09698873742485582,0.14838525218059706,0.14606038825175457,0.05258952030043135,0.07101179590023506,0.5366451130862998,0.14129567049821307,0.14599364680781762,0.16787034361907477,0.25122962481649697,0.2514593556901908,0.1225275049148321,0.4707900399054087,0.3077227973260267,0.8245005297061854,0.1415580628557545,0.23069443960877795,0.3986111899398261,0.037036354581561855,0.11757973430520584,0.6346352149231564,0.6026169877895575,0.11162190602829793,0.14638304304796107,0.49206723343356296,1.0,0.42747344812575067
CD274-PDCD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD28-CD86,0.0,0.0,0.002584136879784837,0.13549218820587655,0.0,0.15742581084563093,0.08597662460165349,0.38905870001920334,0.1552731376605753,0.012430025497699294,0.0,0.7409290349727602,0.0810590106158937,0.0,0.0,0.05222444330807482,0.0,0.0,0.7781848019526049,0.2422529943952648,0.629165249806742,0.0,0.0,0.1778839678343898,0.0,0.0,1.0,0.6140868835480852,0.2065733810608526,0.0,0.19078807370745787,0.9045883501464345,0.3296032349303772
CD28-CD247,0.1965522244543585,0.0,0.30506736749373486,0.4366356748810155,0.04196595960000432,0.24046178050733416,0.16917495564813484,0.2527837484978475,0.34006614958468456,0.08077939364386931,0.06906755213998451,0.38399634747521205,0.1921881292172903,0.08420147450521699,0.10695618800772362,0.27423474495312056,0.14036208073791814,0.12899345827782616,0.5904307644354208,0.36937519932694807,0.9470064472294523,0.20467747851592366,0.10583439855303434,0.40926023634937436,0.0,0.09580662213659041,1.0,0.5117941812379307,0.20353982300884932,0.03146731803681308,0.28423155760736657,0.32014575741801116,0.4564071544482745
