L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
ANPEP-SELE,-0.9653818703369822,0.8160312814546499,-0.9653818703369822,-0.6615739658940569,-0.9653818703369822,0.29597112830445854,-0.9653818703369822,0.729143139079899,-0.09769540917124812,-0.9653818703369822,-0.9653818703369822,-0.9653818703369822,-0.9653818703369822,-0.9653818703369822,-0.27199734781963025,0.9399905634631439,-0.726544954856577,-0.3727156705698425,0.15678726233126042,1.4129362054173087,0.206289658120843,-0.06594183539845865,2.426639571165238,1.46177454913781,-0.9653818703369822,-0.9653818703369822,0.6365703609989104,1.2163690982571735,-0.42757045359277623,0.7950175967343813,0.9192283610958538,-0.9653818703369822,2.195873305785444
ANXA1-EGFR,0.026838326591863675,0.31098671683504137,1.5172964317901207,0.7165098791041117,1.4071807130516387,-0.3837215884438552,2.2253930258904244,0.2025895123365487,1.1695246421928511,0.9463658733628127,1.9807082934243647,0.3787855691575409,0.4145190316363459,-0.9356411591239994,-1.2561689059525951,-0.8191250687958487,0.21955335928979708,-0.8168696513858303,0.5153767139299653,-1.5337813925310329,-1.2347396868023388,0.29876829106353353,-0.9449460284505677,-1.3710225783275611,0.6978997751198868,-0.18412908610843481,-1.1362832604512574,-0.6983184321743932,0.8257332065775679,-0.27063384387624806,-1.225626997520948,-0.012134913447342886,-1.030886767962167
ANXA1-FPR1,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,0.6137233360616116,-0.2619494016132667,1.4048976336399106,0.2293513978188938,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,-0.2619494016132667,5.348560279264317,-0.2619494016132667
C3-CD19,-0.8177025615391024,-0.8177025615391024,-0.8030893920884686,-0.26256776655091163,-0.8177025615391024,0.291134379808287,-0.8177025615391024,-0.7642431913940416,-0.8177025615391024,-0.8177025615391024,-0.8177025615391024,-0.41642653426749815,-0.8177025615391024,-0.4745292821760877,-0.3482223623466867,-0.14217513551302258,-0.05959245593712216,0.11599811749361057,1.4180928474126384,1.316209540236778,0.8573741881348116,-0.10667653853572542,-0.15932833581820005,-0.3044372385654306,-0.8177025615391024,-0.8149238425732642,1.5755936838405995,1.0366874513641053,-0.5684104627768407,0.12396959716336556,1.3841752775058176,3.6451543924702587,0.8195561169649502
C3-ITGB2,-0.5706799124683422,-1.222796808875355,-0.3493554861279444,0.41543686179845213,-0.9512036628302588,0.01107699662720686,-0.9450875316148818,-0.3241021776720834,-0.25379562888601076,-0.7643168131640031,-0.8317561198186723,1.4046896838954497,-0.4526157859405346,-0.6405524864206751,-0.6884245408792105,-0.3669522245575033,-0.3400613157768912,-0.4976360334892499,1.2258098536726603,0.08581028384832143,2.91149461246097,-0.6199697795873971,-0.3434363165868447,0.12991660898295843,-1.190951794931927,-0.7234364995653179,2.3450320003500282,1.085108890699954,-0.15612332036873752,-0.6663392266190994,0.600725321144491,1.8540490431209646,0.8304433095794875
C3-VSIG4,-0.3644266825764136,-0.3644266825764136,0.9441831281137721,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,1.9485186320809293,1.3201639144846142,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,0.14612428169580646,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,-0.3644266825764136,0.535968984113566,-0.3644266825764136,-0.1917213808859254,4.77185618738399,-0.3644266825764136
CCL19-CCR7,-0.48157675094510255,-0.6817697351013084,-0.24607486239018428,0.5836521092543684,-0.6817697351013084,0.004663225397311701,-0.6088238752287672,0.1403028621627362,0.6145397837380925,-0.6817697351013084,-0.6817697351013084,-0.11141260318123133,-0.6817697351013084,-0.46555659140160827,-0.48346389966332676,-0.03837600386648405,-0.608248659628137,-0.5069979419474222,1.2984255351467544,-0.11530817671845882,3.4193137415533488,-0.6067811543151288,-0.6616125845123164,-0.04461682745860994,-0.6817697351013084,-0.562412071884863,3.034365739502312,1.2130734556998257,-0.6817697351013084,-0.6817697351013084,0.373577729014359,-0.6817697351013084,0.995275437584307
CCL5-ACKR1,-0.8160349371965224,-1.0285247349385325,1.8617659564785507,1.2823401188261945,-1.0285247349385325,-0.8777331682143473,-1.0285247349385325,-0.8390884159078508,-0.9548918533572588,-0.5873898102027497,-1.0285247349385325,0.3818650903062439,1.5592428881676628,-0.7195733238755655,-0.39621457825032425,0.2324554982565681,-0.7305050837883699,0.7725734430126238,-0.3177367364262108,-0.8588123347085288,0.7006010406654517,-0.34591891049305606,0.1385658540941581,0.4727772670961187,-1.0285247349385325,-0.9651364281859589,2.012409138993664,2.0015310382181433,1.1656858834197974,1.2055806219354015,-0.879109440450321,0.705946515763772,-0.0625716594846272
CCL5-SDC1,-0.3160529818753058,-1.888836864705548,-0.5002877793012478,-0.46339134648158486,-0.9988240345398038,-0.6878757911008399,0.41059052529871287,-0.4443049764322968,-0.6172185873424386,-0.1539093906454058,-0.5560405775325793,-0.48075955050276437,-0.8550892753149536,-0.25752824219961734,-0.0330267081989708,0.1513970322338099,-0.5430404281850031,-0.19841295277911045,0.7690711495497998,0.8018908842631982,-1.0580166886238032,0.14877130373431582,0.2582362599920021,0.03422450709764908,-0.23333382436490283,-0.6676666014245196,1.242244275541992,0.5840472763146404,-0.11449037868349721,0.8508721801634578,1.2548708652531306,4.2024335192711995,0.3594572015202867
CCN1-TLR2,-0.5803163042901901,-0.428755510747665,0.1870406378619042,0.06300798791046582,-0.8230707160842201,-0.1360299576663403,-0.471456781515847,-0.2373877393437772,-0.33026132641037914,-0.49518241482178477,-0.6998367178805098,1.8109839861763168,-0.8101930959381999,-0.6098124155092876,-0.8089759295727912,-0.5488284768517042,-0.7053230887286627,-0.8230707160842201,0.6736715423402276,-0.8230707160842201,1.735885002229319,-0.38507329972429066,0.3913663917369423,0.731704362147771,-0.8230707160842201,-0.4359127472081642,1.181324969106833,1.4926095852909405,-0.7280880146250378,-0.8230707160842201,0.7349291182984821,3.5996719371090964,-0.07540811895256837
CCN1-ITGB5,1.1454847052724275,2.1681492349512834,0.8058970632019866,1.8698032587427802,-1.151219953416627,0.8372053169960291,0.7977272875068077,0.4587971150142699,-0.7737959424612427,-0.24144490155727047,-0.4188476961976651,1.2897720931147152,-1.5987588560513706,-0.34629579992264875,-1.0638638912077694,-1.1798251437652547,-0.9903945401616788,-0.06802838411843824,1.1659688973787077,-0.9985557551683151,0.3306054833590331,0.49272457084188565,-0.03465738442985158,-0.8508967545039682,-0.22682549967878518,-0.9227595009593308,-0.36879486796212313,-0.6937864628704236,1.174711823393543,0.4229981165341111,-1.3812280428612265,1.359312187449209,-1.0091777764628118
CCN1-TLR4,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,1.950052312708365,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,-0.40283693596526654,1.2094741691001112,-0.40283693596526654,0.1596358859986086,-0.3725809495721878,-0.40283693596526654,-0.40283693596526654,0.6593886813184423,0.776995346862665,-0.40283693596526654,0.24265238701358716,0.30032623702410877,4.742142392712696,-0.40283693596526654
